Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
EXAMITION BOARD,UNMPL/SKU/25-26/859,Writing Board,Consumables,Factory Utilities
SSD DRIVE SATA 250,UNMPL/SKU/25-26/1590, SSD DRIVE,Asset,IT Utilities
SSD DRIVE SATA 256,UNM/SKU/24-25/428, SSD DRIVE,Asset,IT Utilities
ACETONE,UNMPL/SKU/25-26/2212,Acetone,Consumables,Product Utilities
SALICYLIC AICD LR 500GM,UNMPL/SKU/25-26/1451,Acid,Housekeeping,Factory Utilities
LAPTOP POWER ADAPTER LB 38193572,UNMPL/SKU/25-26/1401,Adapter,Asset,IT Utilities
PHILIPS ADEPTOR 2A,UNMPL/SKU/25-26/1595,Adapter,Electrical,Factory Utilities
ADEPROR 10 AMP,UNMPL/SKU/25-26/2228,Adaptor,Electrical,Factory Utilities
BOND NEW 20 ML,UNM/SKU/24-25/631,Adhesive,Consumables,Product Utilities
Synthetic Adh. polygrip rapid nxt 30ltr,UM-000529,Adhesive,Consumables,Product Utilities
ADHESIVE ARALDITE XIN R-100 H-900 1.8 KG,UNMPL/SKU/25-26/758,Adhesive,Consumables,Product Utilities
Fevicol SR. 998,UNM/SKU/23-24/295,Adhesive,Consumables,Product Utilities
LAPOX FILLO FAST HARDNER 800 GM BOLT,UNM/SKU/24-25/809,Adhesive,Consumables,Product Utilities
LAPOX FILLO FAST RESIN 1KG,UNM/SKU/24-25/810,Adhesive,Consumables,Product Utilities
LAPOX RAPID & CLEAR ADHESIVE 180 GM,UNM/SKU/24-25/544,Adhesive,Consumables,Product Utilities
ADHESIVE ARELDITE XIN R-100 H-900 1.8 KG,,Adhesive,Consumables,Product Utilities
TEKBOND ACT SILICONE GP- TRANSPRENT,UNMPL/SKU/25-26/515,Adhesive,Consumables,Product Utilities
LAPOX ULTRA ADHESIVE 90 GM,UNM/SKU/24-25/543,adhesive,Consumables,Product Utilities
Fevical 26 kg,UNM/SKU/24-25/916,adhesive,Consumables,Product Utilities
FEVICOL PROBOND,UNM/SKU/24-25/1367,adhesive,Consumables,Product Utilities
ADHESIVE ARALDITE KLEAR IN 450 GM,UNMPL/SKU/25-26/327,Adhesive,Consumables,Product Utilities
GLUE GUN STICK,UNMPL/SKU/25-26/99,Adhesive,Consumables,Product Utilities
Fabric Glue,UM-000597,Adhesive,Consumables,Product Utilities
Adhesive AROLIGHT 1.8 kg Adhesive ARELDITE XIN R-100 H-900 - for marble,UNMPL/SKU/25-26/485,Adhesive,Consumables,Product Utilities
Tensogrip TG C101 clener,UNM/SKU/24-25/1918,Adhesive,Consumables,Product Utilities
M seal,UNM/SKU/23-24/423,Adhesive ,Consumables,Product Utilities
Fevicol 1K PUR ADH 500GM,UNMPL/SKU/25-26/2272,Adhesive ,Consumables,Product Utilities
Fevicol KIEIBERIT 303.2.3050(PVC 303.2 D3),UNM/SKU/24-25/1624,Adhesive ,Consumables,Product Utilities
P.P ROLL 15 INCH DIA,UNM/SKU/24-25/464,Adhesive Sheet ,Consumables,Product Utilities
STICKER ROLL GREEN 24 INCH FOR MIRROR BACK SUPPORT,UNMPL/SKU/25-26/861,Adhesive Sheet ,Consumables,Product Utilities
Double Sided Tape 1 INCH,UM-000346,Adhesive tape,Consumables,Factory Utilities
Double Sided Tape 2 INCH,UNMPL/SKU/25-26/795,Adhesive tape,Consumables,Factory Utilities
"Packing MASKING TAPE 1""""",UM-000567,Adhesive Tape,Packaging,Product Utilities
"Packing MASKING TAPE 2""""",UNM/SKU/24-25/208,Adhesive Tape,Packaging,Product Utilities
Double Sided Tape,,Adhesive Tape,Consumables,Product Utilities
"Bop Tape 3"""" x 120 Mtr",UM-000566,Adhesive tape,Packaging,Product Utilities
"White Tape 3"""" x 120 Mtr",UNMPL/SKU/25-26/1447,Adhesive tape,Packaging,Product Utilities
E3 PVC TAPE 22X0.8XMM X50MTR,UNM/SKU/24-25/1366,Adhesive Tape,Packaging,Product Utilities
BICON PVC WHITE TAPE,UNM/SKU/24-25/1257,Adhesive Tape,Consumables,Product Utilities
TAFFLON TAPE,UNM/SKU/24-25/1406,Adhesive Tape,Consumables,Product Utilities
BICON PVC TAPE 15 MTR,UNMPL/SKU/25-26/926,Adhesive Tape,Consumables,Factory Utilities
BICON PVC TAPE box,UNM/SKU/23-24/491,Adhesive Tape,Consumables,Product Utilities
TAPLOT TAPE,UNMPL/SKU/25-26/1750,Adhesive Tape,Adhesive,Factory Utilities
Teflon Plumbing Tape,UNM/SKU/24-25/965,Adhesive Tape,Consumables,Product Utilities
Adhesive Tape NYLON TAPE -20MM X 20 MTR (B),UNM/SKU/23-24/896,Adhesive tape,Consumables,Product Utilities
Adhesive Tape NYLON TAPE-20MM X 20MTR (W),UNMPL/SKU/25-26/318,Adhesive tape,Consumables,Product Utilities
DOUBLE SIDE Tape TISSUE 24MM X45 MTR,UNM/SKU/24-25/1824,Adhesive tape,Consumables,Factory Utilities
"Adhesive Tape 3"""" x 5 Mtr WATERPROOF",UNM/SKU/24-25/757,Adhesive Tape,Consumables,Factory Utilities
"Adhesive Tape 2"""" x 5 Mtr WATERPROOF",UNM/SKU/24-25/758,Adhesive tape,Consumables,Factory Utilities
"Bop Tape 2"""" x 120 Mtr",UM-000622,Adhesive tape,Packaging,Product Utilities
"BOP BROWN 3"""" Tape",UNM/SKU/23-24/205,Adhesive tape,Packaging,Product Utilities
PP DUNNAGE AIR BAG REGUALAR 1200'' x 2200'',UNMPL/SKU/25-26/2200,AIR BAG (CONTAINER),Packaging,Product Utilities
PP DUNNAGE AIR BAG REGUALAR 900X1800 36'' x 72'',UNMPL/SKU/25-26/2112,AIR BAG (CONTAINER),Packaging,Product Utilities
AIR BAGS FOR DUST COLLECTOR,UNMPL/SKU/25-26/2003,Air Bags,Consumables,Factory Utilities
Air Blow Gun,MM-02004,Air Blow Gun,Consumables,Factory Utilities
SKY AIR  BLOW GUN,UNM/SKU/24-25/591,Air Blow Gun,Consumables,Factory Utilities
AIR CYLINDER 50X50,UNMPL/SKU/25-26/1264,Air Cylender,Spares,Factory Utilities
AIR FILTER SKY 30HP,UNM/SKU/24-25/801,Air Filter,Spares,Factory Utilities
GUN AIR IMPECT 17407,UNMPL/SKU/25-26/1410,Air Gun,Consumables,Factory Utilities
PU PIPE 12MM X 8 MM,UNMPL/SKU/25-26/2156,Air Pipe,Consumables,Factory Utilities
Air screw driver  209 dc,UNM/SKU/24-25/1745,Air Screw Driver,Asset,Factory Utilities
ROOFTING BOLT 65MM,UNMPL/SKU/25-26/1703,ALLEN Bolt,Hardware,Product Utilities
ALLEN BOLT 25X6MM GOLDEN,UNM/SKU/23-24/952,ALLEN Bolt,Hardware,Product Utilities
ALLEN BOLT JCB 6X40MM,UNM/SKU/24-25/217,ALLEN Bolt,Hardware,Product Utilities
JCB BOLT 6X35,UNMPL/SKU/25-26/62,ALLEN Bolt,Hardware,Product Utilities
JCB BOLT 6X70 MM,UNMPL/SKU/25-26/395,ALLEN Bolt,Hardware,Product Utilities
ALLEN BOLT JCB 6X30MM,UNMPL/SKU/25-26/1513,ALLEN Bolt,Hardware,Product Utilities
ALLEN BOLT JCB 8X40MM,UNM/SKU/23-24/514,ALLEN Bolt,Hardware,Product Utilities
ALLEN BOLT JCB 8x75,UNM/SKU/23-24/964,ALLEN Bolt,Hardware,Product Utilities
JCB BOLT 8X60,UNM/SKU/24-25/816,ALLEN Bolt,Hardware,Product Utilities
Allen Key BOLT 6X50,UNM/SKU/23-24/930,ALLEN Bolt,Hardware,Product Utilities
ALLEN BOLT 6X45,UNMPL/SKU/25-26/1865,ALLEN Bolt,Hardware,Product Utilities
ALLEN BOLT JCB 6X20MM,UNM/SKU/23-24/515,ALLEN Bolt,Hardware,Product Utilities
ALLEN BOLT JCB 6X60,UNM/SKU/24-25/1432,ALLEN Bolt,Hardware,Product Utilities
Allen Key 6x25 Jcb Bolt,,ALLEN Bolt,Hardware,Product Utilities
SOCKET HEAD ALLEN 8 X 40,UNMPL/SKU/25-26/1108,ALLEN Bolt,Hardware,Product Utilities
JCB BOLT 6X25,UNM/SKU/23-24/516,ALLEN Bolt,Hardware,Product Utilities
JCB Bolt 6X20 GOLDEN,UNM/SKU/23-24/524,ALLEN Bolt,Hardware,Product Utilities
ALLEN Bolt JCB 8X50MM,UNM/SKU/24-25/216,ALLEN Bolt,Hardware,Product Utilities
ALLEN Bolt JCB 6X16MM,UNM/SKU/24-25/935,ALLEN Bolt,Hardware,Product Utilities
SOKET Bolt 8X40,UNMPL/SKU/25-26/1262,ALLEN Bolt,Hardware,Product Utilities
JCB BOLT 6X35 GOLDEN,UNMPL/SKU/26-27/55,ALLEN Bolt,Hardware,Product Utilities
Allen Key TAPARIA ALLEN KEY SET,UNMPL/SKU/25-26/2215,Allen Key,Hardware,Product Utilities
Allen Key L 4 mm,UNM/SKU/23-24/244,Allen Key,Hardware,Product Utilities
Allen Key L 5 mm,UM-000496,Allen Key,Hardware,Product Utilities
Allen Key L 6 mm,UM-000497,Allen Key,Hardware,Product Utilities
Allen Key T Long 12MM,UNMPL/SKU/26-27/57,Allen Key,Hardware,Product Utilities
Allen Key 8mm,UNM/SKU/24-25/1446,Allen Key ,Hardware,Product Utilities
Allen Key L 10 MM,UNMPL/SKU/25-26/584,Allen Key ,Hardware,Product Utilities
Allen Key L 2.5MM,UNMPL/SKU/25-26/652,Allen Key ,Hardware,Product Utilities
Angle Board 50x50x2000mm,UM-000380,Angle Board,Packaging,Product Utilities
Angle Board angle board betsy chair 950 mm paga,UNM/SKU/24-25/125,Angle Board,Packaging,Product Utilities
Angle Board CLAPPER DINING CHAIR - HEIGHT - 997mm,UNM/SKU/24-25/1657,Angle Board,Packaging,Product Utilities
Angle Board FA24 RODIN CHAIR ANGLE BOARD 917mm,UNM/SKU/24-25/152,Angle Board,Packaging,Product Utilities
Angle Board Imogene Chair angle 870mm X 730mm,UNM/SKU/24-25/64,Angle Board,Packaging,Product Utilities
Angle Board Imogene Chair paga 890mm,UNM/SKU/24-25/65,Angle Board,Packaging,Product Utilities
Angle Board LUCAYA OTTOMAN - 502mm height,UNM/SKU/23-24/793,Angle Board,Packaging,Product Utilities
Angle Board Muirfield Chair 715mm,UNM/SKU/23-24/633,Angle Board,Packaging,Product Utilities
Angle Board Rodin Bench - 490mm,UM-000159,Angle Board,Packaging,Product Utilities
Angle Board 925mm - maxwell chair,UNM/SKU/24-25/532,Angle Board,Packaging,Product Utilities
Angle Board clapper bar chair - height 1245 mm,UNM/SKU/24-25/1646,Angle Board,Packaging,Product Utilities
Angle Board clapper counter height - 1124 mm,UNM/SKU/24-25/1649,Angle Board,Packaging,Product Utilities
"Angle Board ENZO CHAIR PILLER - 33.50""""",UNMPL/SKU/25-26/1065,Angle Board,Packaging,Product Utilities
"Angle Board GG CHAIR PILLER - 34.75""""",UNMPL/SKU/25-26/1066,Angle Board,Packaging,Product Utilities
"Angle Board Kirsty Dining Chair - 41.5""""",UNM/SKU/24-25/784,Angle Board,Packaging,Product Utilities
"Angle Board L 6 D - 37"""" PILLER",UNMPL/SKU/25-26/874,Angle Board,Packaging,Product Utilities
Angle Board LAILA MIRROR - 132MM PILLER,UNMPL/SKU/25-26/872,Angle Board,Packaging,Product Utilities
"Angle Board nyra 2 drawer piller 23""""",UNMPL/SKU/25-26/1156,Angle Board,Packaging,Product Utilities
"Angle Board THEA CHAIR PILLER - 42.20""""",UNMPL/SKU/25-26/1069,Angle Board,Packaging,Product Utilities
Angle Board Valle Chair 675mm,UNM/SKU/23-24/631,Angle Board,Packaging,Product Utilities
"17""""X5""""+17""""X3.4""""/40MM + 5""""X5""""/25MM  5""""ANGLE+10""""LOCL ANGLE",,Angle Board ,Packaging,Product Utilities
Angle Board Tray Betsy Chair 640mm x 545mm,UNM/SKU/24-25/275,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray FA24 RODIN CHAIR ANGLE TRAY 522mm X 560mm,UNM/SKU/24-25/151,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray LUCAYA OTTOMAN 1150mm x 1150mm,UNM/SKU/23-24/792,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray Muirfield Chair 920MM X 800MM,UNM/SKU/23-24/632,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray Rodin Bench (1600x500 mm),UM-000672,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray 1020mm x 702mm,UNM/SKU/24-25/533,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray clapper bar and counter - 495mm x 572mm,UNM/SKU/24-25/1647,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray Clapper Dining Chair - 584mm x 521mm,UNM/SKU/24-25/1656,Angle Board Tray,Packaging,Product Utilities
"Angle Board Tray ENZO CHAIR - 38.75""""X32.25""""",UNMPL/SKU/25-26/1064,Angle Board Tray,Packaging,Product Utilities
"Angle Board Tray GG CHAIR - 34.75""""X30.70""""",UNMPL/SKU/25-26/1067,Angle Board Tray,Packaging,Product Utilities
"Angle Board Tray Kirsty Dining Chair - 27.5"""" x 22.5""""",UNM/SKU/24-25/783,Angle Board Tray,Packaging,Product Utilities
"Angle Board Tray L 6 D - 70.75""""X26.75""""",UNMPL/SKU/25-26/873,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray LAILA MIRROR - 1295.4MM X 889MM,UNMPL/SKU/25-26/871,Angle Board Tray,Packaging,Product Utilities
"Angle Board Tray nyra 2 drawer - 20""""X25""""",UNMPL/SKU/25-26/1155,Angle Board Tray,Packaging,Product Utilities
"Angle Board Tray THEA CHAIR - 34.30""""X34.30""""",UNMPL/SKU/25-26/1068,Angle Board Tray,Packaging,Product Utilities
Angle Board Tray Valle Chair (880mmX830mm),UNM/SKU/23-24/630,Angle Board Tray,Packaging,Product Utilities
WD- 40 SPRAY 420 ML,UNM/SKU/24-25/37,Anti Rust ,Consumables,Product Utilities
ANTI SKID TAPE 48 X 5 MTR,UNMPL/SKU/25-26/1720,Anti Skid Tape,Consumables,Factory Utilities
UNMPL/SKU/25-26/2081 /Housekeeping Product / IguanaGrip Anti-Slip Floor Treatment DIY Kit / / dustpan big,UNMPL/SKU/25-26/2081,Anti Slip ,Consumables,Factory Utilities
APRIN 2,UNMPL/SKU/25-26/1975,Apron ,Consumables,Factory Utilities
AUTO FIDDER KEERA 22TH (SANJAY TEKTEAM),UNMPL/SKU/25-26/2129,Auto Feeder,Spares,Factory Utilities
AUTO FIDDER ROAD KEERA 11TH ( SANJAY TEKTEAM),UNMPL/SKU/25-26/2130,Auto Feeder,Spares,Factory Utilities
AUTO FIDDER WHEEL BUSH ( SANJAY TEKTEAM),UNMPL/SKU/25-26/2128,Auto Feeder,Spares,Factory Utilities
"Bosch Backing Pad 5""""",MM-01552,Backing Pad,Consumables,Product Utilities
PACKING ZIPPER 6*8,UNMPL/SKU/25-26/1917,BAG,Packaging,Product Utilities
Hardware Bag Red Packing,UNM/SKU/23-24/249,Bag,Packaging,Product Utilities
Pvc band 20mm (w),UNMPL/SKU/25-26/1899,Band,Electrical,Factory Utilities
NINA BAR CABINET,UNMPL/SKU/25-26/1625,Bar Cabinet,Finished Goods,Product Utilities
BATTERY 12V 7AH,UNM/SKU/24-25/550,Battery,Consumables,Office Supplies
BATTERY 9V,UNM/SKU/24-25/1750,Battery,Consumables,Office Supplies
DURACELL 9V 2 ULTRA LONG LASTING,UNMPL/SKU/25-26/1603,battery,Consumables,Office Supplies
DURACELL BETTRY (AA-AAA),UNM/SKU/24-25/658,battery,Consumables,Office Supplies
AAA BATTERY,UNM/SKU/24-25/937,Battery ,Consumables,Office Utilities
UPS BATTERY EXIDE,UNM/SKU/24-25/98,Battery ,Consumables,Office Utilities
DURACELL AA,UNM/SKU/24-25/1326,Battery ,Consumables,Office Supplies
POLYLAB  BEAKER 1000 ML,UNMPL/SKU/25-26/2286,Beaker,Consumables,Factory Utilities
POLYLAB BEAKER 100ML,UNMPL/SKU/25-26/2283,Beaker,Consumables,Factory Utilities
POLYLAB BEAKER 250ML,UNMPL/SKU/25-26/2284,Beaker,Consumables,Factory Utilities
POLYLAB BEAKER 50ML,UNMPL/SKU/25-26/2282,Beaker,Consumables,Factory Utilities
POLYLAB CONICAL MEASURE  25ML,UNMPL/SKU/25-26/2281,Beaker,Consumables,Factory Utilities
BEAKER (MEASUREMENT JUG),UNMPL/SKU/25-26/2308,Beaker,Consumables,Factory Utilities
BEARING,UNMPL/SKU/25-26/654,Bearing ,Consumables,Factory Utilities
BERING,,Bearing ,Consumables,Factory Utilities
Bering 13m,UNM/SKU/23-24/733,Bearing ,Consumables,Factory Utilities
Berring 13m,,Bearing ,Consumables,Factory Utilities
Bearing - 6201,UNM/SKU/24-25/1001,Bearing ,Consumables,Factory Utilities
Bearing -6300,UNMPL/SKU/25-26/2136,Bearing ,Consumables,Factory Utilities
Bearing SLIDE HGS25,UNMPL/SKU/25-26/2173,Bearing ,Electrical,Factory Utilities
6307 2RS BEARING SKF,UNMPL/SKU/26-27/272,Bearing ,Spares,Factory Utilities
6205 2RS1 BEARING SKF,UNMPL/SKU/26-27/273,Bearing ,Spares,Factory Utilities
Crosby queen HB Corner with  angel board    Gap -3.50 inch  7x 7 x7    40 mm round figure,,Bed Fitting ,Component,Product Utilities
Crosby queen HB - U clip 2 inch gap L 10 x5  Top 70 mm with angel Side 40 mm,UNMPL/SKU/26-27/310,Bed Fitting ,Component,Product Utilities
Chaddar 10x4,UNMPL/SKU/25-26/372,Bed Sheet,Finished Goods,Product Utilities
Chaddar 14x4 GRAY AND WHITE,UNMPL/SKU/25-26/373,Bed Sheet,Finished Goods,Product Utilities
Chaddar color GRAY AND WITH 16x4,UNMPL/SKU/25-26/370,Bed Sheet,Finished Goods,Product Utilities
King Bed Slats . LVL Natural (1000 x 70 x 12),UM-000411,Bed Slats,Component,Product Utilities
Queen Bed Slats . LVL Natural (800 x 70 x 12),UM-000475,Bed Slats,Component,Product Utilities
Fan Belt 1650X30,UNMPL/SKU/26-27/1,Belt,Spares,Factory Utilities
BN1118-15 Upholstered Bench,,Bench,Finished Goods,Product Utilities
BN0922-33 Havana Bench,UNMPL/SKU/25-26/256,Bench,Finished Goods,Product Utilities
FACE FINGERPRINT AND CARD READER,UNMPL/SKU/25-26/487,Bio Matric,Asset,Factory Utilities
Blade AT.SC.12020 IC TCT SCORING SAW BLADE 120XT-2,UNMPL/SKU/25-26/1701,Blade,Consumables,Product Utilities
Blade TRUN BLADE 15X15X2.5X37 DEGREE (CA),UNMPL/SKU/25-26/1648,Blade,Consumables,Product Utilities
Blade TRUN BLADE TIGRA(14X14X2),UNMPL/SKU/25-26/697,Blade,Consumables,Product Utilities
FOAM & FABRIC CUTTING BLADE 8 INCH,UNMPL/SKU/25-26/1925,Blade,Consumables,Product Utilities
AARI PATTI 12  X 1 INCH,UNM/SKU/24-25/1468,Blade,Consumables,Product Utilities
AARI PATTI 12 INCH,,Blade,Consumables,Product Utilities
AARI FUNNER FRAME,UNMPL/SKU/25-26/128,Blade,Consumables,Product Utilities
AARI PATTI 12 0.5 INCH CHORI,UNMPL/SKU/25-26/68,Blade,Consumables,Product Utilities
AARI PATTI 12X0.5 INCH -2,UNMPL/SKU/25-26/120,Blade,Consumables,Product Utilities
Blade Jigsaw T 144D,UNM/SKU/24-25/1403,Blade,Consumables,Product Utilities
PLANNER BLADES 13''X1.25''X3MM TPI,UNM/SKU/24-25/1166,Blade,Consumables,Product Utilities
TCT BLADE 8X40,UNMPL/SKU/25-26/405,Blade,Consumables,Product Utilities
TURN BLADE KNIVES SHAP,UNM/SKU/24-25/691,Blade,Consumables,Product Utilities
PLANNER BLADES 14''X1  1/4'' 6 TPI,UNM/SKU/24-25/553,Blade,Consumables,Factory Utilities
CWC-A ( WHITE BILICH),UNMPL/SKU/25-26/1239,Bleach,Consumables,Product Utilities
TC FOR WOOD WHITING,UNMPL/SKU/25-26/1136,Bleach ,Consumables,Product Utilities
WOOD BLECAHING (BILICH),UNMPL/SKU/25-26/25,Bleach ,Consumables,Product Utilities
CWC BLICH,UNMPL/SKU/25-26/1238,Bleach ,Consumables,Product Utilities
Bleach,UNM/SKU/24-25/1926,Bleach ,Consumables,Product Utilities
BOBIN-LU1510 / B9117563000,UNM/SKU/24-25/1976,Bobbin ,Spares,Factory Utilities
BOBBIN CASE ASM (DU/DDL-8100EHX) / 40098684,UNM/SKU/24-25/1977,Bobbin Case,Spares,Factory Utilities
Fastener BOLT FSATNER 10MM,UNMPL/SKU/25-26/968,Bolt,Hardware,Product Utilities
HEX BOLT BLACK 8X20MM,UNM/SKU/24-25/56,Bolt,Hardware,Product Utilities
ROOFTING BOLT 50MM,UNMPL/SKU/25-26/1721,Bolt,Hardware,Product Utilities
CSK BOLT 6X16MM,UNM/SKU/23-24/405,Bolt,Hardware,Product Utilities
Fastener TWO IN ONE BOLT 60X10MM,UNMPL/SKU/25-26/547,Bolt,Hardware,Product Utilities
ROOFING BOLT 50 X6 MM,,bolt,Hardware,Factory Utilities
15MM NUT BOLT,UNMPL/SKU/25-26/460,Bolt,Hardware,Product Utilities
BOLT 8X35 BLACK,UNMPL/SKU/25-26/1906,Bolt,Hardware,Product Utilities
BOLT TWO IN ONE 3/8*4 INCH,UNMPL/SKU/25-26/812,Bolt,Hardware,Product Utilities
BOLT CUTTER 14 INCH,UNMPL/SKU/25-26/751,BOLT,Hardware,Product Utilities
HEX BOLT BLACK 8X35,UNMPL/SKU/25-26/2053,BOLT,Hardware,Product Utilities
HI NUT BOLT,UNMPL/SKU/25-26/1568,Bolt,Hardware,Product Utilities
ROOFING Bolt 60 X6 MM,UNM/SKU/24-25/1488,Bolt,Hardware,Factory Utilities
Hex Bolt 8x20mm (Silver),UM-000725,Bolt,Hardware,Product Utilities
6X25 HEXA Bolt,UNM/SKU/23-24/865,Bolt,Hardware,Product Utilities
SILVER Bolt 20X4,UNM/SKU/24-25/583,Bolt,Hardware,Product Utilities
Bolt 4.5 FT,UNMPL/SKU/26-27/130,Bolt,Hardware,Product Utilities
S.S NUT JCB M-6,UNM/SKU/24-25/908,Bolt ,Hardware,Product Utilities
S. S.ALKEY BOLT BUTTON HEAD 6X25MM,UNMPL/SKU/25-26/1846,Bolt ,Hardware,Product Utilities
BOLT 6MM X 25MM BLOT (WITH OUT NUT),UNMPL/SKU/25-26/1998,BOLT ,Hardware,Product Utilities
BOLT ( SANJAY TEKTEAM),UNMPL/SKU/25-26/2133,BOLT ,Hardware,Product Utilities
REGISTER JODHANA 196 PAGE,UNM/SKU/24-25/1960,Book,Stationery,Office Utilities
SPRIAL NOTEBOOK BIG,UNM/SKU/24-25/744,Book,Consumables,Office Supplies
CG26021 W ENCLOSURE WITH 16A 3M,UNMPL/SKU/25-26/1364,BOX,Electrical,Factory Utilities
PVC MODULAR GANG BOX 12M,UNM/SKU/24-25/408,Box,Electrical,Factory Utilities
PVC MODULAR GANG BOX 6M,UNM/SKU/24-25/710,Box,Electrical,Factory Utilities
VIBCON FAME GANG BOX 6M,UNMPL/SKU/25-26/71,BOX,Electrical,Factory Utilities
GOLDEN BRASS CAP 4 INCH,UNMPL/SKU/25-26/1129,Brass Cap ,Hardware,Product Utilities
BROOM BAMBOO HEAVY,UNMPL/SKU/25-26/1914,Broom,Housekeeping,Factory Utilities
SOFT BROOM,UNMPL/SKU/25-26/1425,Broom,Housekeeping,Factory Utilities
Brush KALAM 5 NO,UNM/SKU/24-25/1402,Brush,Consumables,Factory Utilities
Brush KALAM ROUND 6 NO.,UNM/SKU/24-25/832,Brush,Consumables,Factory Utilities
"Brush 3""""",UNM/SKU/23-24/772,Brush,Consumables,Factory Utilities
"Brush 4""""",UNM/SKU/24-25/846,Brush,Consumables,Factory Utilities
Brush kalam 0 no. - 12no.,UNM/SKU/24-25/299,Brush,Consumables,Factory Utilities
Brush KALAM 8 NO,UNMPL/SKU/25-26/1086,Brush,Consumables,Factory Utilities
Brush KALAM ROUND 12 NO.,UNM/SKU/24-25/833,Brush,Consumables,Factory Utilities
Brush KALAM ROUND 3 NO.,UNM/SKU/24-25/831,Brush,Consumables,Factory Utilities
BRUSH 2'',UNMPL/SKU/25-26/914,Brush,Consumables,Product Utilities
Brush KALAM 10 NO,UNMPL/SKU/25-26/1085,Brush ,Consumables,Factory Utilities
"Brush 5"""" 125mm",MM-01401,Brush ,Consumables,Factory Utilities
"Brush 5"""" FOR PAINT",UNM/SKU/23-24/768,Brush ,Consumables,Factory Utilities
Air Bubble 1 Mtr (50 Gsm ) Small,UM-000294,Bubble Roll,Packaging,Product Utilities
Packing Air Bubble 1.5 Mtr (50 Gsm ),UM-000970,Bubble Roll,Packaging,Product Utilities
Metal Buckle,UM-000421,BUCKLE,Hardware,Product Utilities
Buffer PVC Floor protector 15mm * 3 mm,UM-000610,Buffer,Hardware,Product Utilities
Buffer BUFFER NO 4,UNMPL/SKU/25-26/1030,Buffer,Hardware,Product Utilities
Buffer Plinth Bush ( Red Color  25mm Dia.   Buffer + Screw ),,Buffer,Hardware,Product Utilities
Buffer 5 NO BROWN BUFFER,UNMPL/SKU/25-26/2143,Buffer,Hardware,Product Utilities
Buffer PVC Floor protector 12mm * 3 mm,UNMPL/SKU/25-26/46,Buffer,Hardware,Product Utilities
Buffer Buffer 5 No.,UM-000308,Buffer,Hardware,Product Utilities
Buffer PVC Floor Protector 20x6 mm,UM-000796,Buffer,Hardware,Product Utilities
Buffer BUFFER 4 NO 4 NO,UNM/SKU/23-24/652,Buffer,Hardware,Product Utilities
Buffer calendrical black,UNM/SKU/23-24/675,Buffer,Hardware,Product Utilities
Buffer black u type 12mm,UNM/SKU/23-24/722,Buffer,Hardware,Product Utilities
Buffer 22 NO. ROUND BUFFER,UNM/SKU/24-25/1113,Buffer,Hardware,Product Utilities
Buffer NO.5 WHITE,UNMPL/SKU/26-27/280,Buffer,Hardware,Product Utilities
BUTTON DIE -7801 NO.- 36#,UNMPL/SKU/25-26/2163,Button Die,Consumables,Factory Utilities
SATA CASING/ USB TO SATA (CABLET HD2533-U3),UNMPL/SKU/25-26/1360,Cable,Electrical,Factory Utilities
USB CALBLES 3MTR,UNMPL/SKU/25-26/642,Cable,IT,IT Utilities
80SQMM 3.5C ALU ARM CABLE 1100V,UNMPL/SKU/25-26/1544,Cable,Electrical,Factory Utilities
4 SQF MM 4C CU FLEX CABLE 1100V,UNMPL/SKU/25-26/1533,Cable,Electrical,Factory Utilities
6 SQ MM 4C CU FLEX CABLE 1100V,UNMPL/SKU/25-26/1880,Cable,Electrical,Factory Utilities
HPL 1 SQ MM WIRE 2C  FLEX CABLE 1100V,UNMPL/SKU/25-26/1660,Cable,Electrical,Factory Utilities
hpl 1.5sqmm 2c flex cable UNMPL/SKU/25-26/2046,UNMPL/SKU/25-26/2046,Cable,Electrical,Factory Utilities
HPL 2.3 SQ MM FR PVC INS. CU FLEX,UNMPL/SKU/25-26/1879,Cable,Electrical,Factory Utilities
1.5 sq mm 2c cc flex cable,UNM/SKU/24-25/431,Cable,Electrical,Factory Utilities
1.5 SQ MM CU FLEX CABLE ANCHOR,UNMPL/SKU/25-26/479,Cable,Electrical,Factory Utilities
HPL 2.5 SQ MM WIRE 3C  FLEX CABLE 1100V,UNMPL/SKU/25-26/2001,Cable,Electrical,Factory Utilities
CAT-6 CABLE,UNMPL/SKU/25-26/616,Cable ,IT,IT Utilities
Cable tie 20MM,UNM/SKU/24-25/207,Cable Tie,Electrical,Factory Utilities
CABLE TIE 300 MM (12 INCH),UNMPL/SKU/25-26/659,Cable Tie,Electrical,Factory Utilities
CABLE TIE 12 INCH BLACK,UNMPL/SKU/25-26/1896,Cable Tie,Electrical,Factory Utilities
CABLE TIE 450 MM X 7.6MM,UNM/SKU/24-25/1058,Cable Tie,Electrical,Factory Utilities
