Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
Foam HR - 72X36X25MM  Color:pick  Density: 40,,Foam,Raw Material,Product Utilities
Foam HR - 72X36X75MM  Color:Pink  Density: 40,,Foam,Raw Material,Product Utilities
Foam HR 72x48x25mm  Color:  Density: 40,,Foam,Raw Material,Product Utilities
Foam Memory 78x36x22mm  Color:WHITE  Density: 56,,Foam,Raw Material,Product Utilities
Foam Platinum - 60x40x25mm  Color:YELLOW  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum (72x36x75mm)  Color:green  Density: 32,,Foam,Raw Material,Product Utilities
Foam platinum (72X48X20mm)  Color:Green  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum (88x44x75mm)  Color:YELLOW  Density: 32,,Foam,Raw Material,Product Utilities
"Foam Platinum 32 D 72""""x40""""x25mm  Color:yellow  Density: 30",,Foam,Raw Material,Product Utilities
Foam Platinum 32D 56X53X25mm  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
"Foam Platinum 32D 60""""x30""""x10mm  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
"Foam Platinum 32D 72""""x36""""x10mm (Agarwal)  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
"Foam Platinum 32D 72""""x48""""x10mm (Agarwal)  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
"Foam Platinum 32D 72""""x48""""x25mm (Agarwal)  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
Foam Platinum 32D 72X61X50mm  Color:yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 60x40x10mm  Color:yellow  Density: 32,,Foam,Raw Material,Product Utilities
"Foam Platinum 72""""x36""""x75mm  Color:yellow  Density: 32",,Foam,Raw Material,Product Utilities
Foam Platinum 72X36X10mm  Color:green  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 72X36X10mm  Color:YELLOW  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 72X36X20MM  Color:GREEN  Density: 32 D,,Foam,Raw Material,Product Utilities
Foam Platinum 72X36X20MM  Color:YELLOW  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 72x36x25mm  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 72X36X50mm  Color:green  Density:,,Foam,Raw Material,Product Utilities
Foam Platinum 72x36x6mm  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam platinum 72X48X20MM  Color:YELLOW  Density: 32,,Foam,Raw Material,Product Utilities
Foam platinum 72X48X25MM  Color:green  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 72x48x25mm(O)  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam platinum 72X48X50mm  Color:green  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 72x48x50mm  Color:Yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam Platinum 78x40x50mm  Color:yellow  Density: 32,,Foam,Raw Material,Product Utilities
Foam PLATINUM-72X36X50MM  Color:YELLOW  Density: 32,,Foam,Raw Material,Product Utilities
